keyword,timestamp,pos_hype,neg_hype
$TSLA,2020-03-24 17:33:33,2,8
$TSLA,2020-03-24 17:34:34,4,2
$TSLA,2020-03-24 17:35:44,8,0
$TSLA,2020-03-24 17:36:59,1,5
$TSLA,2020-03-24 17:38:03,0,10
$TSLA,2020-03-24 17:39:38,7,1
$TSLA,2020-03-24 17:41:58,2,8
$TSLA,2020-03-24 17:44:16,48,1
$TSLA,2020-03-24 17:45:57,12,3
$TSLA,2020-03-24 17:48:21,1,7
$TSLA,2020-03-24 17:49:27,2,8
$TSLA,2020-03-24 17:53:11,0,5
$TSLA,2020-03-24 17:55:58,5,1
$TSLA,2020-03-24 17:57:25,11,0
$TSLA,2020-03-24 18:00:06,2,0
$TSLA,2020-03-24 18:01:08,7,0
$TSLA,2020-03-24 18:02:33,0,39
$TSLA,2020-03-24 18:03:49,1,0
$TSLA,2020-03-24 18:05:33,3,7
$TSLA,2020-03-24 18:07:54,12,0
$TSLA,2020-03-24 18:09:20,2,0
$TSLA,2020-03-24 18:10:31,2,9
$TSLA,2020-03-24 18:13:13,3,1
$TSLA,2020-03-24 18:14:17,11,4
$TSLA,2020-03-24 18:15:44,20,0
$TSLA,2020-03-24 18:17:07,3,0
$TSLA,2020-03-24 18:18:39,8,2
$TSLA,2020-03-24 18:20:00,3,209
$TSLA,2020-03-24 18:21:44,5,0
$TSLA,2020-03-24 18:23:31,8,1
$TSLA,2020-03-24 18:24:44,19,0
$TSLA,2020-03-24 18:29:10,25,1
$TSLA,2020-03-24 18:30:30,7,0
$TSLA,2020-03-24 18:31:35,1,0
$TSLA,2020-03-24 18:33:45,0,4
$TSLA,2020-03-24 18:34:46,1,0
$TSLA,2020-03-24 18:35:57,1,0
$TSLA,2020-03-24 18:37:18,4,2
